customer_id,segment_name,recency_days,frequency_180d,monetary_180d,R_score,F_score,M_score,RFM_score,return_rate_180d,avg_discount_pct_180d,avg_rating_180d,category_diversity_180d,ticket_count_90d,negative_ticket_rate_90d,avg_resolution_hours_90d,sessions_30d,campaign_clicks_30d,email_opens_30d,last_visit_days_ago,churn_next_60d,split,support_complaint_score,engagement_score,discount_dependency,loyalty_tier_encoded,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,marketing_consent
CUST00001,At-Risk Customers,107,1,362.73,2,1,1,4,0.0,0.23,3.0,1,0,0.0,0.0,1,0,2,20,1,train,0.0,0.04179961215255333,0.23,1.0,Tier 1,18-24,Instagram,Silver,Makeup,Yes
CUST00002,New Customers,40,1,581.0,4,1,2,7,0.0,0.23,4.0,1,1,0.0,1.0,8,0,0,0,0,train,0.16666666666666666,0.21476750700280112,0.23,1.0,Tier 2,25-34,Marketplace,Silver,Hair Care,Yes
CUST00003,At-Risk Customers,171,1,649.98,1,1,2,4,0.0,0.47,2.0,1,0,0.0,0.0,1,0,0,26,1,train,0.0,0.01704201680672269,0.47,0.0,Tier 1,25-34,Influencer,,Skin Care,Yes
CUST00004,At-Risk Customers,131,1,1604.04,2,1,4,7,0.0,0.16,2.0,1,0,0.0,0.0,1,0,0,14,1,train,0.0,0.02208403361344538,0.16,0.0,Tier 3,25-34,Google Search,,Fragrance,No
CUST00005,Champions,38,3,1781.9,4,5,4,13,0.0,0.48,1.0,2,0,0.0,0.0,18,1,3,9,0,train,0.0,0.5019459168282697,0.48,2.0,Tier 3,35-44,Organic,Gold,Hair Care,Yes
CUST00006,Loyal Customers,51,4,2989.58,3,5,5,13,0.25,0.38,4.5,3,2,1.0,17.6,2,0,0,1,0,validation,0.8333333333333333,0.05411204481792717,0.38,1.0,Tier 2,35-44,Instagram,Silver,Baby Care,Yes
CUST00007,New Customers,3,1,719.33,5,1,3,9,0.0,0.18,5.0,1,0,0.0,0.0,11,3,10,12,0,train,0.0,0.4749056237879768,0.18,0.0,Tier 1,18-24,Organic,,Fragrance,Yes
CUST00008,Loyal Customers,47,3,2449.11,3,5,5,13,0.0,0.217,2.33,3,0,0.0,0.0,2,0,0,16,0,validation,0.0,0.059154061624649854,0.217,1.0,Tier 2,18-24,Organic,Silver,Skin Care,Yes
CUST00009,New Customers,31,1,376.85,4,1,2,7,0.0,0.49,4.0,1,0,0.0,0.0,11,0,0,6,0,train,0.0,0.2777983193277311,0.49,0.0,Tier 1,25-34,Influencer,,Skin Care,No
CUST00010,New Customers,9,1,636.8,5,1,2,8,0.0,0.45,4.0,1,0,0.0,0.0,13,0,6,5,0,train,0.0,0.39455850032320616,0.45,0.0,Tier 1,18-24,Influencer,,Wellness,Yes
CUST00011,New Customers,1,1,508.08,5,1,2,8,0.0,0.14,4.0,1,0,0.0,0.0,10,0,0,0,0,train,0.0,0.21047619047619048,0.14,2.0,Tier 2,18-24,Referral,Gold,Fragrance,No
CUST00012,Other,50,1,978.88,3,1,3,7,0.0,0.31,5.0,1,0,0.0,0.0,3,0,0,5,1,train,0.0,0.07955742296918766,0.31,0.0,Tier 2,35-44,Instagram,,Skin Care,No
CUST00013,Loyal Customers,61,3,1754.44,3,5,4,12,0.0,0.23,5.0,2,0,0.0,0.0,4,0,2,21,0,train,0.0,0.12471837965955612,0.23,0.0,Tier 3,35-44,Google Search,,Fragrance,Yes
CUST00014,Potential Loyalists,51,2,1382.39,3,3,4,10,0.0,0.145,5.0,1,0,0.0,0.0,11,0,0,17,0,train,0.0,0.2777983193277311,0.145,0.0,Tier 2,18-24,Referral,,Fragrance,No
CUST00015,Potential Loyalists,35,2,1523.14,4,3,4,11,0.0,0.285,5.0,2,0,0.0,0.0,6,0,0,11,0,train,0.0,0.14398879551820729,0.285,2.0,Tier 2,25-34,Google Search,Gold,Hair Care,Yes
CUST00016,Lost Customers,215,0,0.0,1,1,1,3,0.0,0.0,3.5,0,0,0.0,0.0,2,1,4,32,1,test,0.0,0.12526589097177332,0.0,0.0,Tier 2,18-24,Instagram,,Skin Care,Yes
CUST00017,Lost Customers,286,0,0.0,1,1,1,3,0.0,0.0,3.5,0,0,0.0,0.0,4,4,9,47,1,train,0.0,0.3071682826976944,0.0,0.0,Tier 3,35-44,Referral,,Hair Care,Yes
CUST00018,At-Risk Customers,111,1,329.21,2,1,1,4,0.0,0.36,4.0,1,0,0.0,0.0,3,2,4,37,1,test,0.0,0.1622658909717733,0.36,1.0,Tier 1,35-44,Marketplace,Silver,Skin Care,Yes
CUST00019,Potential Loyalists,9,2,1598.93,5,3,4,12,0.0,0.105,4.0,1,0,0.0,0.0,5,1,3,0,0,train,0.0,0.19832686920922213,0.105,2.0,Tier 1,18-24,Referral,Gold,Skin Care,Yes
CUST00020,Lost Customers,368,0,0.0,1,1,1,3,0.0,0.0,3.5,0,0,0.0,0.0,0,0,0,60,1,train,0.0,0.0,0.0,0.0,Tier 3,45+,Instagram,,Skin Care,No
CUST00021,Potential Loyalists,77,2,1059.3,3,3,3,9,0.0,0.435,4.0,2,1,1.0,20.1,3,0,2,18,1,train,0.6666666666666666,0.09927300150829563,0.435,1.0,Tier 2,25-34,Marketplace,Silver,Makeup,Yes
CUST00022,New Customers,29,1,454.06,4,1,2,7,0.0,0.31,5.0,1,0,0.0,0.0,10,1,4,0,0,train,0.0,0.3299493643611291,0.31,0.0,Tier 1,18-24,Instagram,,Wellness,Yes
CUST00023,New Customers,21,1,400.98,4,1,2,7,0.0,0.25,3.0,1,0,0.0,0.0,3,1,4,7,0,train,0.0,0.14903059685412626,0.25,2.0,Tier 3,18-24,Google Search,Gold,Baby Care,Yes
CUST00024,New Customers,4,1,481.35,5,1,2,8,0.0,0.34,5.0,1,0,0.0,0.0,13,0,3,0,0,test,0.0,0.35994311570782156,0.34,0.0,Tier 1,25-34,Marketplace,,Skin Care,Yes
CUST00025,At-Risk Customers,165,1,517.97,1,1,2,4,0.0,0.38,5.0,1,0,0.0,0.0,11,1,6,29,1,test,0.0,0.350320405085111,0.38,0.0,Tier 2,18-24,Referral,,Baby Care,Yes
CUST00026,Loyal Customers,72,3,3561.39,3,5,5,13,0.333,0.163,3.0,2,1,1.0,20.0,14,0,1,26,0,train,0.6666666666666666,0.32197543632837755,0.163,0.0,Tier 2,25-34,Referral,,Wellness,Yes
CUST00027,High-Value but Unhappy,70,1,2128.34,3,1,5,9,1.0,0.3,1.0,1,1,0.0,8.0,11,2,5,18,0,validation,0.16666666666666666,0.3636418875242405,0.3,0.0,Tier 1,45+,Instagram,,Baby Care,Yes
CUST00028,Other,83,1,641.83,3,1,2,6,0.0,0.11,2.0,1,0,0.0,0.0,1,0,3,19,0,train,0.0,0.07000474035768153,0.11,0.0,Tier 1,25-34,Influencer,,Baby Care,Yes
CUST00029,Champions,18,3,1382.04,5,5,4,14,0.0,0.2,3.67,2,0,0.0,0.0,1,0,0,0,0,train,0.0,0.02208403361344538,0.2,0.0,Tier 2,35-44,Referral,,Skin Care,No
CUST00030,Champions,5,5,2819.98,5,5,5,15,0.0,0.362,4.2,4,2,1.0,27.65,11,0,0,3,0,test,0.8333333333333333,0.2174341736694678,0.362,2.0,Tier 1,25-34,Google Search,Gold,Wellness,No
CUST00031,Other,49,1,672.95,3,1,2,6,0.0,0.24,4.0,1,0,0.0,0.0,6,0,0,9,1,train,0.0,0.18082352941176472,0.24,0.0,Tier 1,35-44,Marketplace,,Wellness,No
CUST00032,New Customers,33,1,694.18,4,1,3,8,0.0,0.32,4.0,1,0,0.0,0.0,12,0,0,13,0,test,0.0,0.32831372549019605,0.32,1.0,Tier 1,35-44,Marketplace,Silver,Skin Care,No
CUST00033,Champions,12,3,1877.69,5,5,4,14,0.333,0.403,4.67,3,1,1.0,33.3,7,0,3,7,0,validation,0.6666666666666666,0.220856280973928,0.403,2.0,Tier 3,18-24,Google Search,Gold,Fragrance,Yes
